latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
21.3,92.1,tp_rollingmax,0.95,0.1342278261342442,0.15,pei_90,2018-0203-BGD,BGD,Flood,2018-06-05,2018-06-14,104,40,pei_90,tp_rollingmax,2018,0.0,0.0,90.55909090909093,7.210227272727272,0.5340909090909091,1.6704545454545454,0.0261363636363636,4.0
22.1,95.1,tp_rollingmax,0.95,0.0939792140522704,0.15,pei_90,2018-0203-MMR,MMR,Flood,2018-06-05,2018-06-14,105,40,pei_90,tp_rollingmax,2018,2.613636363636364,9.852272727272728,64.55795454545455,12.818181818181818,0.0,0.0806818181818181,10.077272727272728,4.0
22.7,74.2,tp_rollingmax,0.95,0.1820808725859811,0.15,pei_30,2018-0205-IND,IND,Flood,2018-06-22,2018-07-03,106,40,pei_30,tp_rollingmax,2018,0.0,0.0,63.81278026905829,33.243273542600896,1.1659192825112108,1.5852017937219731,0.1928251121076233,4.0
22.3,112.6,tp_rollingmax,0.95,0.0262798752195786,0.15,pei_90,2018-0211-CHN,CHN,Flood,2018-05-07,2018-05-14,107,40,pei_90,tp_rollingmax,2018,0.0,2.16289592760181,71.73076923076923,8.815610859728507,0.0361990950226244,12.723981900452488,4.530542986425339,4.0
22.9,84.6,tp_rollingmax,0.95,0.0328773078977867,0.15,pei_90,2018-0214-IND,IND,Storm,2018-05-28,2018-05-28,407,40,pei_90,tp_rollingmax,2018,0.0,0.0,66.01008968609865,28.86322869955157,0.0,5.108744394618834,0.0179372197309417,4.0
13.9,13.5,tp_rollingmax,0.95,0.0471590951592384,0.15,pei_90,2018-0232-NER,NER,Flood,2018-06-01,2018-08-31,111,40,pei_90,tp_rollingmax,2018,0.0,0.0,6.802816901408451,75.39084507042253,16.088028169014084,1.7183098591549295,0.0,4.0
48.2,26.0,tp_rollingmax,0.95,0.0435728538705401,0.15,pei_30,2018-0248-UKR,UKR,Storm,2018-06-28,2018-06-30,408,40,pei_30,tp_rollingmax,2018,0.0,6.689935064935065,69.8538961038961,8.372564935064934,0.0,15.083603896103895,0.0,4.0
48.0,101.7,tp_rollingmax,0.95,0.0361774010117206,0.15,pei_30,2018-0249-MNG,MNG,Flood,2018-07-03,2018-07-05,112,40,pei_30,tp_rollingmax,2018,6.022801302931596,0.0,36.182410423452765,55.942182410423456,0.0,1.8526058631921825,0.0,4.0
30.2,77.5,tp_rollingmax,0.95,0.0666630909367366,0.15,pei_90,2018-0267-IND,IND,Flood,2018-07-26,2018-07-28,113,40,pei_90,tp_rollingmax,2018,0.0,0.3529411764705882,84.80672268907563,14.436974789915968,0.0,0.4033613445378151,0.0,4.0
15.4,36.5,tp_rollingmax,0.95,0.0287329013877472,0.15,pei_90,2018-0292-SDN,SDN,Flood,2018-07-23,2018-07-30,114,40,pei_90,tp_rollingmax,2018,0.0,0.0,34.88084112149533,64.53971962616822,0.5794392523364486,0.0,0.0,4.0
