,dhp_label,dlabel,longitude,latitude,tp_int,date,source,unveg,sparse,teow,biome,start_date,end_date,DisNo.
90,68164,108755,148.8,-24.2,14.175136,2022-03-10,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-03-10,2022-03-10,68164_dhp
91,68164,108755,147.5,-22.6,0.2233057,2022-03-10,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-03-10,2022-03-10,108755_d
92,68162,103275,-60.0,-23.5,12.846484,2022-03-11,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-03-11,2022-03-11,68162_dhp
93,68162,103275,-56.0,-21.5,0.65623343,2022-03-11,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-03-11,2022-03-11,103275_d
94,67884,106767,17.5,-3.8,18.813906,2022-02-28,dhp,0.00077160494,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-28,2022-02-28,67884_dhp
95,67884,106767,16.5,-5.9,0.46765298,2022-02-28,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-28,2022-02-28,106767_d
96,67673,103275,-61.7,-19.7,20.142622,2022-02-17,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-17,2022-02-17,67673_dhp
97,67673,103275,-60.8,-21.3,0.05840237,2022-02-17,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-17,2022-02-17,103275_d
98,67505,103275,-61.8,-20.7,13.351605,2022-02-11,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-11,2022-02-11,67505_dhp
99,67505,103275,-60.1,-21.5,0.26733097,2022-02-11,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-11,2022-02-11,103275_d
100,67335,103275,-62.7,-21.6,26.506725,2022-02-05,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-05,2022-02-05,67335_dhp
101,67335,103275,-59.4,-21.9,0.45151064,2022-02-05,d,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-02-05,2022-02-05,103275_d
102,67058,103275,-59.9,-19.3,18.37948,2022-01-27,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-27,2022-01-27,67058_dhp
103,67058,103275,-57.9,-21.7,0.15806092,2022-01-27,d,0.090277776,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-27,2022-01-27,103275_d
104,67022,103275,-60.7,-25.1,23.356943,2022-01-27,dhp,0.017746914,0.010030864,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-27,2022-01-27,67022_dhp
105,67022,103275,-59.3,-26.6,0.12590669,2022-01-27,d,0.0046296297,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-27,2022-01-27,103275_d
106,66587,103275,-61.7,-30.8,12.310591,2022-01-18,dhp,0.0,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2022-01-18,2022-01-18,66587_dhp
107,66587,103275,-59.2,-29.2,0.25821948,2022-01-18,d,0.018518519,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-18,2022-01-18,103275_d
108,66584,103275,-64.3,-29.9,11.92506,2022-01-17,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-17,2022-01-17,66584_dhp
109,66584,103275,-61.4,-31.3,0.944973,2022-01-17,d,0.0069444445,0.0,8,"Temperate Grasslands, Savannas & Shrublands",2022-01-17,2022-01-17,103275_d
110,66578,103275,-64.3,-23.7,23.12171,2022-01-18,dhp,0.0,0.0,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2022-01-18,2022-01-18,66578_dhp
